naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2410,14.5,700000.0,,1.9936,0.01229,-0.1052,162.21318144833197,True,0.0032694,0.016054,0.7482
2410,15.0,700000.0,,2.0729,0.01154,-0.1161,179.62738301559793,True,0.0032694,0.016054,0.6993
2410,15.5,700000.0,ayashii,2.3074,0.00803,-0.1638,287.3474470734744,True,0.0032694,0.016054,0.63404
2411,6.0,700000.0,,0.9632,0.00592,-0.061,162.7027027027027,True,,,
2411,6.5,700000.0,,0.9995,0.00754,-0.0588,132.55968169761275,True,,,
2411,7.0,700000.0,,1.0569,0.00781,-0.0588,135.32650448143406,True,,,
2411,7.5,700000.0,,1.1133,0.0084,-0.059,132.53571428571428,True,0.029602,0.063719,
2411,8.0,700000.0,,1.1858,0.00796,-0.0628,148.96984924623115,True,0.021777,0.053107,
2411,8.5,700000.0,,1.235,0.00847,-0.0616,145.80873671782763,True,0.017594,0.043913,
2411,9.0,700000.0,,1.2907,0.00874,-0.061,147.67734553775745,True,0.012501,0.039849,
2411,9.5,700000.0,,1.3389,0.00899,-0.0598,148.9321468298109,True,0.011063,0.036123,
2411,10.0,700000.0,,1.3984,0.00917,-0.0611,152.4972737186478,True,0.0097377,0.029602,
2411,10.5,700000.0,,1.461,0.00936,-0.0638,156.0897435897436,True,0.0085159,0.029602,
2411,11.0,700000.0,,1.5235,0.0096,-0.0664,158.69791666666669,True,0.0085159,0.026757,
2411,11.5,700000.0,,1.5905,0.00988,-0.0699,160.98178137651823,True,0.0073906,0.024157,0.98613
2411,12.0,700000.0,,1.6502,0.01007,-0.0723,163.87288977159878,True,0.0063565,0.024157,0.95839
2411,12.5,700000.0,,1.7154,0.01015,-0.0756,169.0049261083744,True,0.0054086,0.021777,0.91795
2411,13.0,700000.0,,1.7813,0.01029,-0.0797,173.1098153547133,True,0.0054086,0.021777,0.88456
2411,13.5,700000.0,,1.8482,0.01084,-0.0864,170.49815498154982,True,0.0054086,0.021777,0.84259
2411,14.0,700000.0,,1.9142,0.01071,-0.0918,178.7301587301587,True,0.0045429,0.019596,0.79208
