naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2408,4.0,750000.0,,0.7216,0.00753,-0.0611,95.83001328021248,True,,,
2408,4.5,750000.0,,0.7711,0.00689,-0.0581,111.91582002902757,True,,,
2408,5.0,750000.0,,0.818,0.00846,-0.0566,96.69030732860519,True,,,
2408,5.5,750000.0,,0.8685,0.00895,-0.0551,97.03910614525141,True,0.016158,0.048356,
2408,6.0,750000.0,,0.9204,0.00956,-0.0537,96.27615062761505,True,0.0094466,0.031499,
2408,6.5,750000.0,,0.9578,0.01045,-0.05,91.6555023923445,True,0.0063847,0.026834,
2408,7.0,750000.0,,1.0173,0.01062,-0.0499,95.79096045197741,True,0.0051525,0.022736,
2408,7.5,750000.0,,1.0781,0.01108,-0.0499,97.30144404332131,True,0.0040825,0.019193,
2408,8.0,750000.0,,1.1424,0.01127,-0.0503,101.36645962732919,True,0.0040825,0.019193,
2408,8.5,750000.0,,1.2034,0.01153,-0.0503,104.3712055507372,True,0.0031545,0.019193,
2408,9.0,750000.0,,1.2641,0.01178,-0.0503,107.30899830220713,True,0.0031545,0.019193,
2408,9.5,750000.0,ayashii,6.4872,0.00127,-1.5534,5108.031496062991,True,0.0031545,0.016158,
2408,10.0,750000.0,,1.3836,0.01294,-0.0512,106.9242658423493,True,0.0023584,0.016158,
2408,10.5,750000.0,,1.4429,0.01282,-0.0516,112.55070202808113,True,0.0023584,0.016158,
2408,11.0,750000.0,ayashii,8.8228,0.00115,-2.1556,7672.000000000001,True,0.0016863,0.013566,
2408,11.5,750000.0,ayashii,9.8383,0.00106,-2.4337,9281.415094339623,True,0.0016863,0.013566,
2408,12.0,750000.0,ayashii,9.5823,0.00119,-2.3427,8052.35294117647,True,0.0016863,0.013566,
2408,12.5,750000.0,ayashii,11.1933,0.00107,-2.7615,10461.028037383177,True,0.0016863,0.016158,0.93493
2408,13.0,750000.0,ayashii,1.9731,0.02072,-0.1375,95.22683397683399,True,0.00013311,0.22737,
2408,-6.0,1000000.0,,-0.4832,0.01049,-0.0444,-46.06291706387036,True,,,0.89697
2408,-5.5,1000000.0,,-0.4192,0.01018,-0.0453,-41.17878192534381,True,,,0.89697
2408,-5.0,1000000.0,,-0.3631,0.0096,-0.0446,-37.822916666666664,True,0.89697,0.9971,
2408,-4.5,1000000.0,,-0.2972,0.00902,-0.0465,-32.949002217294904,True,0.89697,0.98609,
2408,-4.0,1000000.0,,-0.2372,0.00831,-0.0466,-28.543922984356197,True,0.89697,0.97947,
2408,-3.5,1000000.0,,-0.168,0.00811,-0.0496,-20.715166461159065,True,0.88937,0.96506,
2408,-3.0,1000000.0,,-0.1132,0.00743,-0.0487,-15.235531628532973,True,0.88937,0.95007,
2408,-2.5,1000000.0,,-0.053,0.00678,-0.0498,-7.817109144542773,True,0.88177,0.91976,
2408,-2.0,1000000.0,,0.0047,0.00638,-0.0501,0.7366771159874608,True,,,
2408,-1.5,1000000.0,,0.0616,0.00595,-0.0502,10.352941176470587,True,,,
2408,-1.0,1000000.0,,0.1225,0.00529,-0.0516,23.15689981096408,True,,,
2408,-0.5,1000000.0,,0.1746,0.00452,-0.0507,38.6283185840708,True,,,
2408,0.0,1000000.0,,0.2416,0.00424,-0.053,56.981132075471706,True,,,
2408,0.5,1000000.0,,0.3151,0.00418,-0.0569,75.38277511961722,True,,,
2408,1.0,1000000.0,,0.3929,0.00467,-0.0614,84.13276231263384,True,,,
2408,1.5,1000000.0,,0.4902,0.00468,-0.0707,104.74358974358975,True,,,
2408,2.0,1000000.0,,0.5399,0.00487,-0.0694,110.86242299794662,True,,,
2408,2.5,1000000.0,,0.5892,0.00537,-0.0681,109.72067039106145,True,,,
2408,3.0,1000000.0,,0.6414,0.00563,-0.0674,113.92539964476022,True,,,
2408,3.5,1000000.0,,0.6876,0.00626,-0.0656,109.84025559105432,True,,,
2408,4.0,1000000.0,,0.7279,0.00729,-0.0627,99.8491083676269,True,,,
2408,4.5,1000000.0,,0.7732,0.00656,-0.0581,117.8658536585366,True,,,
2408,5.0,1000000.0,,0.8172,0.00827,-0.057,98.81499395405079,True,,,
2408,5.5,1000000.0,,0.8673,0.00868,-0.0555,99.91935483870967,True,0.016158,0.036692,
2408,6.0,1000000.0,,0.9214,0.00904,-0.0546,101.92477876106196,True,0.0094466,0.026834,
2408,6.5,1000000.0,,0.9604,0.00982,-0.0513,97.80040733197556,True,0.0063847,0.022736,
2408,7.0,1000000.0,,1.0148,0.01017,-0.0505,99.78367748279251,True,0.0051525,0.019193,
2408,7.5,1000000.0,,1.0765,0.0104,-0.0508,103.50961538461539,True,0.0040825,0.016158,
2408,8.0,1000000.0,,1.1395,0.01051,-0.0514,108.42055185537582,True,0.0040825,0.016158,
2408,8.5,1000000.0,,1.1998,0.01071,-0.0514,112.02614379084966,True,0.0031545,0.016158,
2408,9.0,1000000.0,,1.2586,0.01106,-0.0517,113.79746835443036,True,0.0031545,0.013566,
2408,9.5,1000000.0,,1.3182,0.01168,-0.0524,112.8595890410959,True,0.0031545,0.013566,
2408,10.0,1000000.0,,1.3782,0.01185,-0.0529,116.30379746835445,True,0.0023584,0.013566,
2408,10.5,1000000.0,,1.4364,0.01222,-0.054,117.54500818330605,True,0.0023584,0.013566,
2408,11.0,1000000.0,,1.4984,0.01312,-0.0564,114.20731707317073,True,0.0023584,0.01135,
2408,11.5,1000000.0,,1.5621,0.01338,-0.0583,116.74887892376682,True,0.0023584,0.01135,
2408,12.0,1000000.0,,1.6201,0.0131,-0.0591,123.67175572519085,True,0.0040825,0.019193,0.19014
2408,12.5,1000000.0,,1.687,0.01469,-0.0701,114.84002722940777,True,0.0016863,0.01135,0.98609
2408,13.0,1000000.0,,1.7773,0.01178,-0.0761,150.87436332767402,True,0.0016863,0.01135,0.92735
2408,13.5,1000000.0,ayashii,1.9093,0.02197,-0.1267,86.90487027765134,True,,,0.0011329
2409,-6.0,500000.0,,-0.6135,0.01237,-0.0207,-49.59579628132579,True,,,0.84092
2409,-5.5,500000.0,,-0.5097,0.01059,-0.0329,-48.13031161473088,True,,,0.84092
2409,-5.0,500000.0,,-0.4024,0.00934,-0.0446,-43.08351177730193,True,,,0.84092
2409,-4.5,500000.0,,-0.3424,0.01033,-0.0401,-33.1461761858664,True,,,0.84092
2409,-4.0,500000.0,,-0.2736,0.00995,-0.0418,-27.497487437185928,True,,,0.83307
2409,-3.5,500000.0,,-0.1874,0.00965,-0.0474,-19.419689119170986,True,0.83307,0.9863,
2409,-3.0,500000.0,,-0.1509,0.00936,-0.0416,-16.121794871794872,True,0.82522,0.97293,
2409,-2.5,500000.0,,-0.0887,0.00848,-0.0426,-10.459905660377359,True,0.81736,0.95808,
2409,-2.0,500000.0,,0.0123,0.00787,-0.0523,1.5628970775095299,True,0.8095,0.94269,
2409,-1.5,500000.0,,0.0464,0.00684,-0.0474,6.783625730994152,True,0.79378,0.9193,
2409,-1.0,500000.0,,0.0966,0.00625,-0.0455,15.456,True,0.77805,0.88799,
2409,-0.5,500000.0,,0.1979,0.0063,-0.0554,31.41269841269841,True,0.77018,0.86447,
2409,0.0,500000.0,,0.2316,0.0065,-0.0498,35.63076923076923,True,0.76231,0.81736,
2409,0.5,500000.0,,0.3354,0.00567,-0.0593,59.15343915343915,True,,,
2409,1.0,500000.0,,0.4187,0.00593,-0.0654,70.6070826306914,True,,,
2409,1.5,500000.0,,0.4674,0.00641,-0.064,72.91731669266771,True,,,
2409,2.0,500000.0,,0.5044,0.007,-0.0597,72.05714285714285,True,,,
2409,2.5,500000.0,,0.5296,0.00707,-0.053,74.9080622347949,True,,,
2409,3.0,500000.0,,0.59,0.00648,-0.0542,91.04938271604938,True,,,
2409,3.5,500000.0,,0.6718,0.00692,-0.0605,97.08092485549132,True,,,
2409,4.0,500000.0,,0.7214,0.00772,-0.0596,93.44559585492229,True,,,
2409,4.5,500000.0,,0.7791,0.00597,-0.0587,130.50251256281408,True,,,
2409,5.0,500000.0,,0.7925,0.00948,-0.0519,83.5970464135021,True,,,
2409,5.5,500000.0,,0.8745,0.00896,-0.0562,97.60044642857144,True,,,
2409,6.0,500000.0,,0.9304,0.00929,-0.0555,100.15069967707213,True,0.026028,0.068453,
2409,6.5,500000.0,,0.9972,0.00921,-0.0562,108.27361563517915,True,0.01476,0.049744,
2409,7.0,500000.0,,1.0479,0.01007,-0.0554,104.06156901688182,True,0.010924,0.044122,
2409,7.5,500000.0,,1.0983,0.01071,-0.0538,102.54901960784314,True,0.0078987,0.034141,
2409,8.0,500000.0,,1.1457,0.01153,-0.0513,99.36686903729401,True,0.0066291,0.02985,
2409,8.5,500000.0,,1.2068,0.01211,-0.0515,99.65317919075146,True,0.0054979,0.02985,
2409,9.0,500000.0,,1.2667,0.01209,-0.0518,104.77253928866831,True,0.0044915,0.026028,
2409,9.5,500000.0,,1.3351,0.01269,-0.0527,105.20882584712372,True,0.0044915,0.026028,
2409,10.0,500000.0,,1.3975,0.01316,-0.0533,106.19300911854103,True,0.0035979,0.022651,
2409,10.5,500000.0,,1.4602,0.01496,-0.0561,97.60695187165776,True,0.0035979,0.022651,
2409,11.0,500000.0,,1.521,0.01344,-0.0555,113.16964285714285,True,0.0028102,0.022651,
2409,11.5,500000.0,,1.6374,0.01136,-0.0636,144.13732394366195,True,0.0028102,0.019678,
2409,12.0,500000.0,,1.714,0.0115,-0.0683,149.04347826086956,True,0.0028102,0.022651,1.0
2409,12.5,500000.0,ayashii,8.8652,0.00137,-2.1744,6470.94890510949,True,0.0028102,0.022651,0.95042
2409,13.0,500000.0,ayashii,8.7125,0.0015,-2.1145,5808.333333333333,True,0.0021258,0.022651,0.88799
2409,13.5,500000.0,ayashii,5.824,0.00329,-1.3694,1770.212765957447,True,0.0021258,0.022651,0.80164
2409,14.0,500000.0,ayashii,4.0347,0.00566,-0.8268,712.8445229681979,True,0.0021258,0.022651,0.73869
2409,14.5,500000.0,ayashii,11.5666,0.00125,-2.8822,9253.279999999999,True,0.0021258,0.019678,0.652
2409,15.0,500000.0,ayashii,11.6361,0.00129,-2.8867,9020.232558139536,True,0.0021258,0.019678,0.69142
2409,-6.0,750000.0,,-0.4866,0.01108,-0.0436,-43.91696750902527,True,,,0.87231
2409,-5.5,750000.0,,-0.4279,0.01029,-0.0441,-41.584062196307094,True,,,0.87231
2409,-5.0,750000.0,,-0.3676,0.0099,-0.0443,-37.13131313131313,True,0.87231,0.99706,
2409,-4.5,750000.0,,-0.3038,0.00939,-0.046,-32.35356762513312,True,0.87231,0.9863,
2409,-4.0,750000.0,,-0.2429,0.0092,-0.0457,-26.40217391304348,True,0.86447,0.97293,
2409,-3.5,750000.0,,-0.1571,0.00886,-0.0515,-17.7313769751693,True,0.86447,0.96562,
2409,-3.0,750000.0,,-0.1017,0.00814,-0.0511,-12.493857493857494,True,0.85662,0.94269,
2409,-2.5,750000.0,,-0.0492,0.00746,-0.0508,-6.595174262734585,True,0.84877,0.92711,
2409,-2.0,750000.0,,0.0028,0.00695,-0.0496,0.4028776978417266,True,0.84092,0.90365,
2409,-1.5,750000.0,,0.0456,0.00638,-0.0464,7.147335423197492,True,0.84092,0.85662,
2409,-1.0,750000.0,,0.1025,0.00589,-0.0464,17.402376910016976,True,,,
2409,-0.5,750000.0,,0.1815,0.0056,-0.052,32.410714285714285,True,,,
2409,0.0,750000.0,,0.2673,0.00548,-0.0584,48.777372262773724,True,,,
2409,0.5,750000.0,,0.2812,0.00525,-0.0486,53.561904761904756,True,,,
2409,1.0,750000.0,,0.3981,0.00537,-0.0616,74.1340782122905,True,,,
2409,1.5,750000.0,,0.5061,0.00562,-0.0731,90.05338078291815,True,,,
2409,2.0,750000.0,,0.5437,0.00608,-0.0693,89.42434210526315,True,,,
2409,2.5,750000.0,,0.5823,0.00606,-0.0656,96.08910891089108,True,,,
2409,3.0,750000.0,,0.6384,0.00604,-0.0657,105.69536423841059,True,,,
2409,3.5,750000.0,,0.6861,0.00572,-0.0635,119.94755244755245,True,,,
2409,4.0,750000.0,,0.7337,0.00693,-0.0626,105.87301587301587,True,,,
2409,4.5,750000.0,,0.7795,0.00583,-0.0588,133.704974271012,True,,,
2409,5.0,750000.0,,0.8333,0.00663,-0.0587,125.68627450980394,True,,,
2409,5.5,750000.0,,0.8847,0.00783,-0.0582,112.98850574712644,True,,,
2409,6.0,750000.0,,0.9274,0.00866,-0.0552,107.09006928406467,True,0.026028,0.055714,
2409,6.5,750000.0,,0.9795,0.00903,-0.0541,108.4717607973422,True,0.01476,0.044122,
2409,7.0,750000.0,,1.0358,0.00929,-0.0539,111.4962325080732,True,0.010924,0.034141,
2409,7.5,750000.0,,1.1043,0.00939,-0.0558,117.60383386581469,True,0.0078987,0.02985,
2409,8.0,750000.0,,1.1412,0.01031,-0.0523,110.6886517943744,True,0.0066291,0.026028,
2409,8.5,750000.0,,1.2022,0.01055,-0.0527,113.95260663507108,True,0.0054979,0.022651,
2409,9.0,750000.0,,1.2633,0.01085,-0.0533,116.4331797235023,True,0.0044915,0.019678,
2409,9.5,750000.0,,1.328,0.01129,-0.055,117.62621789193977,True,0.0044915,0.019678,
2409,10.0,750000.0,,1.3882,0.01148,-0.0557,120.92334494773519,True,0.0035979,0.019678,
2409,10.5,750000.0,,1.4489,0.01189,-0.057,121.8587047939445,True,0.0035979,0.017063,
2409,11.0,750000.0,,1.5099,0.01225,-0.0584,123.25714285714285,True,0.0028102,0.017063,
