naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
4408,5.4,500000.0,,1.0997,0.00851,-0.1104,129.22444183313746,True,,,
4408,5.5,500000.0,,1.11,0.00894,-0.1111,124.16107382550337,True,,,
4408,5.6000000000000005,500000.0,,1.1238,0.0091,-0.1114,123.49450549450547,True,,,
4408,5.7,500000.0,,1.1262,0.00909,-0.1092,123.89438943894389,True,,,
4408,5.800000000000001,500000.0,,1.1351,0.00913,-0.1086,124.32639649507121,True,,,
4408,5.9,500000.0,,1.1546,0.00889,-0.1092,129.87626546681665,True,,,
4408,6.0,500000.0,,1.1691,0.0093,-0.1108,125.70967741935485,True,,,
4408,6.1000000000000005,500000.0,,1.1772,0.00932,-0.1099,126.30901287553648,True,,,
4408,6.2,500000.0,,1.1877,0.00941,-0.1093,126.21679064824654,True,,,
4408,6.300000000000001,500000.0,,1.1966,0.00953,-0.1087,125.56138509968521,True,,,
4408,6.4,500000.0,,1.2062,0.00964,-0.1082,125.12448132780084,True,0.020006,0.049039,
4408,6.5,500000.0,,1.2151,0.00978,-0.1076,124.24335378323109,True,0.016908,0.055213,
4408,6.6000000000000005,500000.0,,1.2253,0.00988,-0.1073,124.01821862348179,True,0.014253,0.055213,
4408,6.7,500000.0,,1.2396,0.00981,-0.1073,126.36085626911316,True,0.011978,0.049039,
4408,6.800000000000001,500000.0,,1.2549,0.00982,-0.108,127.79022403258654,True,0.010023,0.043128,
4408,6.9,500000.0,,1.2749,0.00972,-0.1096,131.16255144032922,True,0.010023,0.043128,
4408,7.0,500000.0,,1.2825,0.01019,-0.1095,125.8586849852797,True,0.0083369,0.037554,
4408,7.1000000000000005,500000.0,,1.2765,0.01046,-0.1058,122.03632887189292,True,0.0083369,0.037554,
4408,7.2,500000.0,,1.2889,0.01051,-0.1058,122.63558515699333,True,0.0068762,0.0324,
4408,7.300000000000001,500000.0,,1.3013,0.01057,-0.1058,123.11258278145695,True,0.0068762,0.0324,
4408,7.4,500000.0,,1.3137,0.01063,-0.1058,123.58419567262465,True,0.0056078,0.0324,
4408,7.5,500000.0,,1.326,0.01072,-0.1058,123.69402985074628,True,0.0056078,0.0324,
4408,7.6000000000000005,500000.0,,1.3383,0.0108,-0.1059,123.91666666666666,True,0.0056078,0.027735,
4408,7.7,500000.0,,1.3505,0.01089,-0.1059,124.01285583103765,True,0.0045037,0.027735,
4408,7.800000000000001,500000.0,,1.3628,0.011,-0.1059,123.8909090909091,True,0.0045037,0.027735,
4408,7.9,500000.0,,1.3751,0.01109,-0.106,123.9945897204689,True,0.0045037,0.027735,
4408,8.0,500000.0,,1.3874,0.01118,-0.1061,124.09660107334525,True,0.0045037,0.027735,
4408,8.1,500000.0,,1.3995,0.01125,-0.1061,124.4,True,0.0035433,0.027735,
4408,8.200000000000001,500000.0,,1.4116,0.01114,-0.106,126.7145421903052,True,0.0035433,0.023603,
4408,8.3,500000.0,,1.4239,0.0112,-0.106,127.13392857142857,True,0.0035433,0.023603,
4408,8.4,500000.0,,1.4363,0.01127,-0.1061,127.44454303460513,True,0.0035433,0.023603,
4408,8.5,500000.0,,1.4486,0.01134,-0.1062,127.74250440917109,True,0.0035433,0.023603,
4408,8.6,500000.0,,1.4612,0.0114,-0.1063,128.17543859649123,True,0.0035433,0.023603,
4408,8.700000000000001,500000.0,,1.4732,0.01152,-0.1063,127.88194444444444,True,0.0035433,0.023603,
4408,8.8,500000.0,,1.4854,0.01158,-0.1065,128.27288428324698,True,0.0035433,0.023603,
4408,8.9,500000.0,,1.4956,0.01248,-0.107,119.83974358974359,True,0.0035433,0.023603,
4408,9.0,500000.0,,1.508,0.01219,-0.1074,123.70795734208369,True,0.0035433,0.023603,
4408,9.1,500000.0,,1.5208,0.01232,-0.1073,123.44155844155844,True,0.0027102,0.023603,
4408,9.200000000000001,500000.0,,1.5333,0.01222,-0.1073,125.4746317512275,True,0.0027102,0.023603,
4408,9.3,500000.0,,1.5465,0.01244,-0.1074,124.31672025723473,True,0.0027102,0.023603,
4408,9.4,500000.0,,1.5585,0.01235,-0.1074,126.19433198380567,True,0.0027102,0.023603,
4408,9.5,500000.0,,1.5712,0.01246,-0.1074,126.099518459069,True,0.0027102,0.023603,
4408,9.600000000000001,500000.0,,1.584,0.01257,-0.1075,126.01431980906922,True,0.0027102,0.023603,
4408,9.700000000000001,500000.0,ayashii,5.9649,0.00166,-1.4234,3593.3132530120483,True,0.0027102,0.020006,1.0
4408,9.8,500000.0,ayashii,6.0288,0.00167,-1.4377,3610.059880239521,True,0.0027102,0.020006,1.0
4408,9.9,500000.0,ayashii,6.114,0.00168,-1.4588,3639.285714285714,True,0.0027102,0.020006,0.99718
4408,10.0,500000.0,ayashii,6.1802,0.0017,-1.4743,3635.4117647058824,True,0.0027102,0.020006,0.99225
4408,0.0,750000.0,,0.4745,0.00558,-0.1045,85.03584229390681,True,,,
4408,0.1,750000.0,,0.5104,0.00518,-0.1091,98.53281853281854,True,,,
4408,0.2,750000.0,,0.5514,0.00557,-0.1167,98.99461400359066,True,,,
4408,0.30000000000000004,750000.0,,0.5151,0.00474,-0.1057,108.67088607594935,True,,,
4408,0.4,750000.0,,0.5358,0.00479,-0.1079,111.8580375782881,True,,,
4408,0.5,750000.0,,0.5284,0.00482,-0.1035,109.62655601659752,True,,,
4408,0.6000000000000001,750000.0,,0.5392,0.00486,-0.1034,110.94650205761317,True,,,
