x y
0.0 0.0
0.00016210400826531792 0.0029488852405211746
0.001119364828722397 0.005909724885735183
0.0028711175497221028 0.008879981119632343
0.00541544749894063 0.01185616280849909
0.00874918650579371 0.01483385890070262
0.01286790960043669 0.017807784632444815
0.01776593236211923 0.02077183976606409
0.023436309175233518 0.023719177890525824
0.029870832688582778 0.026642285636262406
0.037060034800929405 0.02953307050198572
0.04499318951280664 0.03238295586248043
0.05365831799028568 0.035182981626120505
0.06304219618066269 0.03792390894075447
0.07313036530300805 0.04059632730784043
0.08390714550873711 0.043190762457773126
0.09535565296967898 0.04569778336403366
0.10745782060474664 0.04810810682923132
0.12019442260270792 0.05041269816074927
0.13354510283942686 0.052602866565381184
0.14748840722514958 0.05467035402830025
0.16200181995290744 0.056607416598660226
0.17706180355489773 0.05840689717837931
0.19264384261173212 0.060062289098124666
0.20872249090156475 0.06156778996086522
0.22527142172400227 0.06291834543409527
0.24226348108882004 0.06410968287240251
0.2596707434230315 0.06513833484796078
0.27746456942267256 0.06600165285344109
0.29561566565828157 0.06669781161567795
0.3140941455356912 0.06722580461550366
0.3328695912162246 0.06758543154621523
0.35191111611221004 0.06777727855745143
0.3711874275940982 0.06780269222070887
0.3906668895732974 0.06766374821584142
0.4103175846588314 0.06736321577387647
0.430107375624597 0.06690451892024282
0.45000396596575865 0.0662916955446389
0.4699749593660412 0.06552935528054035
0.4899879179407232 0.0646226371106561
0.5100104191614798 0.06357716752696592
0.5300101114074418 0.06239901996829779
0.5499547681207139 0.061094676138125976
0.5698123405731536 0.059670989674126845
0.5895510092736964 0.05813515250296402
0.6091392340615037 0.056494664072848824
0.6285458029395503 0.05475730351670229
0.6477398797060775 0.052931104664180266
0.6666910504380634 0.05102433369514968
0.6853693688721246 0.0490454691138487
0.7037454007149794 0.04700318362493704
0.7217902668987792 0.04490632741248742
0.7394756857774366 0.042763912262675646
0.75677401423977 0.040585095931900135
0.7736582876950752 0.03837916614508473
0.7901022588678255 0.03615552361414359
0.8060804353216894 0.03392366349354163
0.8215681156198917 0.031693154737489015
0.8365414240198973 0.029473616889924906
0.8509773435960445 0.027274693921916202
0.8648537476844037 0.025106024828830953
0.8781494295498782 0.02297721080867273
0.8908441301862552 0.020897778960040088
0.9029185641751236 0.018877142559867242
0.9143544435487372 0.016924558103885
0.9251344996242019 0.015049079413079541
0.9352425028008782 0.013259509223905194
0.9446632803385673 0.01156434878537682
0.9533827321598036 0.00997174607945924
0.9613878447442903 0.008489443359770345
0.968666703206118 0.007124724765302806
0.975208501663925 0.0058843648089125546
0.9810035520297136 0.004774578563480229
0.9860432913529559 0.003800974371222777
0.9903202878623816 0.0029685098834718432
0.9938282458481577 0.0022814521997326026
0.9965620095219866 0.0017433428169200578
0.9985175659821114 0.0013569680237895802
0.9996920473947225 0.0011243352836152294
1.000083732483397 0.0010466560424629127
0.999916267516603 -0.0010466560424629127
0.9995173498325792 -0.0010611120639091372
0.9983212730325844 -0.0011044748625162518
0.9963300641799867 -0.001176729617728248
0.9935470960881759 -0.001277854834288267
0.9899770789422546 -0.0014078269780359747
0.9856260486874541 -0.0015666266262054102
0.9805013522977071 -0.0017542458053075197
0.9746116300638578 -0.001970696114327861
0.9679667950626099 -0.002216017168467404
0.9605780099839165 -0.002490284851158865
0.9524576615057196 -0.00279361883130365
0.9436193324105646 -0.003126188789873788
0.9340777716387043 -0.0034882188059736415
0.9238488624671621 -0.003879989377397792
0.9129495889943202 -0.004301836594365172
0.9013980010956413 -0.0047541480466256674
0.889213177998957 -0.005237355122166446
0.8764151906083522 -0.005751921448454116
0.8630250626850905 -0.006298327332227356
0.8490647309733806 -0.006877050168614781
0.8345570043391396 -0.007488540911763673
0.8195255219723283 -0.00813319682393801
0.8039947106888349 -0.008811330844732127
0.7879897413570229 -0.00952313804310224
0.7715364844675924 -0.010268659728824849
0.7546614648636522 -0.011047745903330007
0.7373918156510696 -0.011860016819422295
0.7197552313171327 -0.012704824492276945
