生成时间: 2026-05-10 15:01:34
Baseline Airfoil Path: D:\sw_test\tool_box_2.3\naca2412_xy.csv
Timestamp,Upper CST Weights,Lower CST Weights,Re,Alpha,Cl,Cd,L/D,Separation Point
15:01:53,"[0.19746, 0.17914, 0.27215, 0.1134, 0.29406, 0.13384, 0.26715]","[-0.1526, -0.10904, -0.11579, -0.05757, -0.13936, -0.02322, -0.12575]",1000000.0,4.0,0.7685,0.00491,156.517,N/A
15:02:01,"[0.19746, 0.17914, 0.27215, 0.1134, 0.29406, 0.13384, 0.26715]","[-0.1526, -0.10904, -0.11579, -0.05757, -0.13936, -0.02322, -0.12575]",1000000.0,7.0,1.0487,0.00753,139.27,N/A
